,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
76420|MAML3,0.758878050589575,-0.119828008309005,Homo sapiens,MAML3,tf,SK-N-SH,Neuroblastoma cell,Brain,1,MAML3
42651|EVX1,0.76139600902067,-0.118389403939885,Homo sapiens,EVX1,tf,LoVo,None,Colon,0,EVX1
42669|HOXA11,0.761485563604328,-0.118338325691575,Homo sapiens,HOXA11,tf,LoVo,None,Colon,0,HOXA11
42646|BATF3,0.761485586288152,-0.118338312754416,Homo sapiens,BATF3,tf,LoVo,None,Colon,0,BATF3
35962|HIST1H1B,0.768706558612842,-0.114239413509613,Homo sapiens,HIST1H1B,predicted chromatin regulator,H1,Embryonic Stem Cell,Embryo,0,HIST1H1B
56433|TOP2B,0.76967094623327,-0.113694907007778,Homo sapiens,TOP2B,predicted chromatin regulator,MCF-7,Epithelium,Breast,0,TOP2B
77099|ZNF530,0.779270058162317,-0.108312010306048,Homo sapiens,ZNF530,tf,293T,None,None,1,ZNF530
38826|ZIC2,0.780024023846453,-0.107892021330958,Homo sapiens,ZIC2,tf,LoVo,None,Colon,0,ZIC2
55207|EGFR,0.782453805326765,-0.106541292994144,Homo sapiens,EGFR,not sure,HeLa,Epithelium,Cervix,1,EGFR
71278|KAT2A,0.784893275858513,-0.105189391479895,Homo sapiens,KAT2A,cr,BGC823,human gastric cancer cells,None,1,KAT2A
65065|ZNF595,0.785891980451072,-0.104637142914661,Homo sapiens,ZNF595,,HEK293,Epithelium,Embryonic Kidney,1,ZNF595
39008|H3Pan,0.794410670026134,-0.0999549313022627,Homo sapiens,H3Pan,other,A549,Epithelium,Lung,0,H3Pan
77090|ZNF561,0.797521907214889,-0.0982573784251817,Homo sapiens,ZNF561,tf,293T,None,None,1,ZNF561
77184|ZKSCAN3,0.797695355911457,-0.0981629363528057,Homo sapiens,ZKSCAN3,tf,293T,None,None,1,ZKSCAN3
42837|KCMF1,0.809306625681608,-0.091886904083931,Homo sapiens,KCMF1,not sure,LoVo,None,Colon,0,KCMF1
77192|RBAK,0.810244373685598,-0.0913839760140884,Homo sapiens,RBAK,tf,293T,None,None,1,RBAK
67832|EBNA3C,0.810913670552338,-0.0910253780926482,Homo sapiens,EBNA3C,other,None,Lymphoblast,None,0,EBNA3C
77029|ZNF7,0.811166321182995,-0.0908900891103661,Homo sapiens,ZNF7,tf,293T,None,None,0,ZNF7
77026|ZNF81,0.812630729230922,-0.090106759067087,Homo sapiens,ZNF81,tf,293T,None,None,1,ZNF81
42688|LHX4,0.818159961314236,-0.0871617775946236,Homo sapiens,LHX4,tf,LoVo,None,Colon,1,LHX4
77034|ZNF791,0.821599825147648,-0.0853396618370438,Homo sapiens,ZNF791,tf,293T,None,None,0,ZNF791
35107|DOT1L,0.822237164443222,-0.0850028973588257,Homo sapiens,DOT1L,cr,NCCIT,None,Embryo,0,DOT1L
77157|ZNF223,0.824094225781945,-0.0840231288397828,Homo sapiens,ZNF223,other,293T,None,None,1,ZNF223
77152|ZNF267,0.824360763602369,-0.0838826871457325,Homo sapiens,ZNF267,tf,293T,None,None,1,ZNF267
1208|DDX5,0.827580286498912,-0.0821898630603273,Homo sapiens,DDX5,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,DDX5
77067|ZNF662,0.830715086394189,-0.0805479023573779,Homo sapiens,ZNF662,tf,293T,None,None,1,ZNF662
42690|LHX6,0.833941354933911,-0.0788644890794145,Homo sapiens,LHX6,tf,LoVo,None,Colon,0,LHX6
42763|HOXB6,0.833988775132355,-0.0788397946031297,Homo sapiens,HOXB6,tf,LoVo,None,Colon,1,HOXB6
8525|HNRNPL,0.838434182116992,-0.0765310242508836,Homo sapiens,HNRNPL,predicted transcription factor,HeLa,Epithelium,Cervix,0,HNRNPL
73955|ZNF33A,0.841678200894506,-0.0748539207198175,Homo sapiens,ZNF33A,,293T,None,None,1,ZNF33A
76476|CCNT1,0.841957518594005,-0.0747098205022952,Homo sapiens,CCNT1,tf,C4-2,None,Prostate,0,CCNT1
77159|ZNF212,0.842795901790188,-0.0742775848748467,Homo sapiens,ZNF212,tf,293T,None,None,1,ZNF212
38787|TBX3,0.84425486685526,-0.07352642711862,Homo sapiens,TBX3,tf,LoVo,None,Colon,0,TBX3
73924|ZNF85,0.848141213850702,-0.071531832542442,Homo sapiens,ZNF85,,293T,None,None,1,ZNF85
77136|ZNF334,0.850148870235979,-0.0705050179787541,Homo sapiens,ZNF334,tf,293T,None,None,1,ZNF334
38754|GLI3,0.850779907889092,-0.0701827749939587,Homo sapiens,GLI3,tf,LoVo,None,Colon,0,GLI3
76859|IRAK1,0.850991286177314,-0.0700748869007045,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
2|GAPDH,0.852523553550579,-0.0692936134665632,Homo sapiens,GAPDH,not sure,HeLa,Epithelium,Cervix,0,GAPDH
38854|DLX2,0.853753342913386,-0.0686675828055856,Homo sapiens,DLX2,tf,LoVo,None,Colon,1,DLX2
44757|DICER1,0.857056330289569,-0.0669906330010067,Homo sapiens,DICER1,not sure,HEK293,Epithelium,Embryonic Kidney,0,DICER1
77023|ZNF860,0.858205598085284,-0.0664086568860565,Homo sapiens,ZNF860,other,293T,None,None,0,ZNF860
42665|HIC2,0.858559582437883,-0.0662295602280668,Homo sapiens,HIC2,tf,LoVo,None,Colon,0,HIC2
42681|IRF8,0.858559582437883,-0.0662295602280668,Homo sapiens,IRF8,tf,LoVo,None,Colon,0,IRF8
42853|IRX2,0.858596126423998,-0.066211075181618,Homo sapiens,IRX2,tf,LoVo,None,Colon,0,IRX2
38680|JDP2,0.860977735816681,-0.0650080789028814,Homo sapiens,JDP2,tf,LoVo,None,Colon,0,JDP2
77518|H3K18me1,0.865167623937501,-0.0628997409763285,Homo sapiens,H3K18me1,,U2OS,None,Bone,1,H3K18me1
77156|ZNF235,0.865266506682995,-0.062850106922064,Homo sapiens,ZNF235,tf,293T,None,None,1,ZNF235
44029|PALB2,0.866782582799096,-0.0620898240137796,Homo sapiens,PALB2,predicted transcription factor,MCF-10A,Epithelium,Breast,1,PALB2
42648|CAMTA1,0.866802422049742,-0.0620798838296444,Homo sapiens,CAMTA1,tf,LoVo,None,Colon,0,CAMTA1
42810|ASH1L,0.866802422049742,-0.0620798838296444,Homo sapiens,ASH1L,cr,LoVo,None,Colon,0,ASH1L
42858|NKX2-3,0.866802422049742,-0.0620798838296444,Homo sapiens,NKX2-3,tf,LoVo,None,Colon,0,NKX2-3
38769|TFEB,0.866836678328652,-0.0620627207270124,Homo sapiens,TFEB,tf,LoVo,None,Colon,0,TFEB
42851|HOXC11,0.866836678328652,-0.0620627207270124,Homo sapiens,HOXC11,tf,LoVo,None,Colon,0,HOXC11
42764|HOXB8,0.866836678328652,-0.0620627207270124,Homo sapiens,HOXB8,tf,LoVo,None,Colon,0,HOXB8
38643|ERF,0.867330271773188,-0.0618154954929696,Homo sapiens,ERF,tf,LoVo,None,Colon,0,ERF
77097|ZNF540,0.867923005449124,-0.0615187999291715,Homo sapiens,ZNF540,tf,293T,None,None,1,ZNF540
77085|ZNF567,0.868375053568982,-0.0612926613264986,Homo sapiens,ZNF567,tf,293T,None,None,1,ZNF567
76943|SRPK1,0.868916064994799,-0.0610221732292952,Homo sapiens,SRPK1,other,MCF-10A,Epithelium,None,1,SRPK1
77052|ZNF736,0.869938940524188,-0.060511228673347,Homo sapiens,ZNF736,other,293T,None,None,0,ZNF736
77024|ZNF846,0.870280743666043,-0.0603406258216927,Homo sapiens,ZNF846,other,293T,None,None,1,ZNF846
77021|ZNF880,0.870502216784916,-0.0602301185888894,Homo sapiens,ZNF880,other,293T,None,None,0,ZNF880
77174|ZNF135,0.870637111805269,-0.0601628245336337,Homo sapiens,ZNF135,tf,293T,None,None,1,ZNF135
42673|HOXD11,0.871185498622751,-0.0598893622703427,Homo sapiens,HOXD11,tf,LoVo,None,Colon,0,HOXD11
38838|LHX3,0.871319778521868,-0.0598224275871624,Homo sapiens,LHX3,tf,LoVo,None,Colon,0,LHX3
65102|ZSCAN31,0.872047134669242,-0.0594600405565021,Homo sapiens,ZSCAN31,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN31
77040|ZNF782,0.872377413504269,-0.059295587152764,Homo sapiens,ZNF782,tf,293T,None,None,0,ZNF782
77045|ZNF765,0.872624460441903,-0.0591726175169098,Homo sapiens,ZNF765,other,293T,None,None,1,ZNF765
55210|MAPK1,0.87305199535836,-0.0589598907448507,Homo sapiens,MAPK1,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,MAPK1
42678|IKZF5,0.874226293760935,-0.0583761355453426,Homo sapiens,IKZF5,tf,LoVo,None,Colon,0,IKZF5
42674|HOXD13,0.874226293760935,-0.0583761355453426,Homo sapiens,HOXD13,tf,LoVo,None,Colon,0,HOXD13
42694|MSC,0.87445593809618,-0.0582620687739719,Homo sapiens,MSC,tf,LoVo,None,Colon,0,MSC
42689|LHX5,0.874529426397347,-0.0582255726838981,Homo sapiens,LHX5,tf,LoVo,None,Colon,1,LHX5
38840|ALX4,0.874584275930793,-0.0581983350609964,Homo sapiens,ALX4,tf,LoVo,None,Colon,0,ALX4
42644|ATF7,0.875090969998809,-0.0579467975892101,Homo sapiens,ATF7,tf,LoVo,None,Colon,0,ATF7
40300|SIRT3,0.875296372660139,-0.0578448713005319,Homo sapiens,SIRT3,cr,U2OS,None,Bone,0,SIRT3
42709|ATF6,0.875561676593523,-0.057713255793236,Homo sapiens,ATF6,tf,LoVo,None,Colon,0,ATF6
42856|NFE2L3,0.876327133249653,-0.0573337412701903,Homo sapiens,NFE2L3,tf,LoVo,None,Colon,0,NFE2L3
42675|HOXD4,0.876327133249653,-0.0573337412701903,Homo sapiens,HOXD4,tf,LoVo,None,Colon,0,HOXD4
42672|HOXB5,0.876356477571808,-0.0573191989111363,Homo sapiens,HOXB5,tf,LoVo,None,Colon,0,HOXB5
42663|HESX1,0.876407730615051,-0.0572938002707901,Homo sapiens,HESX1,tf,LoVo,None,Colon,1,HESX1
69234|CENPT,0.876669598682159,-0.0571640537325434,Homo sapiens,CENPT,other,HuRef,Lymphoblastoid,None,1,CENPT
52110|CGGBP1,0.87680476594163,-0.0570970982112962,Homo sapiens,CGGBP1,tf,1064Sk,Epidermal cell,Foreskin,0,CGGBP1
42888|ZNF395,0.879514766714527,-0.0557568645080573,Homo sapiens,ZNF395,predicted transcription factor,LoVo,None,Colon,0,ZNF395
77126|ZNF430,0.880952615207604,-0.0550474508470958,Homo sapiens,ZNF430,tf,293T,None,None,1,ZNF430
38688|NKX2-5,0.881800962840425,-0.0546294313023302,Homo sapiens,NKX2-5,tf,LoVo,None,Colon,0,NKX2-5
77093|ZNF552,0.881928286217476,-0.054566727981856,Homo sapiens,ZNF552,tf,293T,None,None,1,ZNF552
77154|ZNF254,0.882780010495202,-0.0541475094817444,Homo sapiens,ZNF254,tf,293T,None,None,1,ZNF254
76547|CHAT,0.884778373006944,-0.053165501544051,Homo sapiens,CHAT,other,SH-SY5Y,Neuron,None,0,CHAT
65080|ZNF582,0.886243724421225,-0.0524468270798301,Homo sapiens,ZNF582,,HEK293,Epithelium,Embryonic Kidney,0,ZNF582
67833|EBNA3A,0.886724656674839,-0.0522112151746617,Homo sapiens,EBNA3A,other,None,Lymphoblast,None,0,EBNA3A
77105|ZNF496,0.887310455502807,-0.0519244010005879,Homo sapiens,ZNF496,tf,293T,None,None,0,ZNF496
41725|TFAM,0.887927513866977,-0.0516224864877311,Homo sapiens,TFAM,tf,HeLa,Epithelium,Cervix,1,TFAM
43546|C10orf12,0.889782072134443,-0.0507163489268386,Homo sapiens,C10orf12,not sure,HEK293T,Epithelium,Embryonic Kidney,0,C10orf12
42861|PLAG1,0.890447678225308,-0.0503915941407831,Homo sapiens,PLAG1,tf,LoVo,None,Colon,0,PLAG1
73091|RPA2,0.890910945319078,-0.0501657054911331,Homo sapiens,RPA2,other,HeLa,Epithelium,Cervix,0,RPA2
42830|GZF1,0.890988331228973,-0.0501279836354617,Homo sapiens,GZF1,tf,LoVo,None,Colon,0,GZF1
77122|ZNF439,0.891392836326324,-0.0499308604410576,Homo sapiens,ZNF439,tf,293T,None,None,0,ZNF439
58949|SMN1,0.891502646628983,-0.0498773631844685,Homo sapiens,SMN1,not sure,HEK293,Epithelium,Embryonic Kidney,1,SMN1
38807|ISL1,0.893139579213094,-0.0490806645772071,Homo sapiens,ISL1,tf,LoVo,None,Colon,0,ISL1
38781|NEUROG3,0.893682527064325,-0.0488167331402949,Homo sapiens,NEUROG3,tf,LoVo,None,Colon,0,NEUROG3
77153|ZNF25,0.894086653098504,-0.0486203882076556,Homo sapiens,ZNF25,tf,293T,None,None,0,ZNF25
77031|ZNF799,0.894290091534155,-0.0485215810735811,Homo sapiens,ZNF799,tf,293T,None,None,1,ZNF799
42666|HIVEP3,0.895035205779734,-0.048159881583351,Homo sapiens,HIVEP3,tf,LoVo,None,Colon,0,HIVEP3
65143|ZNF354A,0.895095068941215,-0.0481308353836669,Homo sapiens,ZNF354A,,HEK293,Epithelium,Embryonic Kidney,0,ZNF354A
42781|SALL4,0.896657422286387,-0.0473734521938787,Homo sapiens,SALL4,tf,LoVo,None,Colon,0,SALL4
38828|BTF3,0.898003285505242,-0.0467220743859399,Homo sapiens,BTF3,tf,LoVo,None,Colon,0,BTF3
42855|MYBL1,0.898120500798668,-0.046665390146702,Homo sapiens,MYBL1,tf,LoVo,None,Colon,0,MYBL1
71840|EWSR1,0.898770307546585,-0.046351283695809,Homo sapiens,EWSR1,tf,VCaP,Epithelium,Prostate,1,EWSR1
77056|ZNF705G,0.899602995133663,-0.0459491072961466,Homo sapiens,ZNF705G,other,293T,None,None,0,ZNF705G
42670|HOXB1,0.899713163526739,-0.0458959253969869,Homo sapiens,HOXB1,tf,LoVo,None,Colon,0,HOXB1
42676|HOXD9,0.899733559190816,-0.0458860804549258,Homo sapiens,HOXD9,tf,LoVo,None,Colon,0,HOXD9
42875|WHSC1,0.900456246632848,-0.0455373847962115,Homo sapiens,WHSC1,cr,LoVo,None,Colon,0,WHSC1
77363|ZNF516,0.900574651081918,-0.0454802815016449,Homo sapiens,ZNF516,tf,MCF-7,None,Breast,1,ZNF516
77119|ZNF442,0.900856440271613,-0.0453444123121655,Homo sapiens,ZNF442,tf,293T,None,None,1,ZNF442
38637|OTX1,0.901120788617021,-0.0452169911364767,Homo sapiens,OTX1,tf,LoVo,None,Colon,0,OTX1
76684|CDKN1B,0.901847924093746,-0.0448666900580026,Homo sapiens,CDKN1B,other,MM1.S,B Lymphocyte,Blood,1,CDKN1B
42685|FOXO4,0.901904264040636,-0.0448395598033989,Homo sapiens,FOXO4,tf,LoVo,None,Colon,0,FOXO4
42723|HOXB4,0.902219720996344,-0.0446876841921058,Homo sapiens,HOXB4,tf,LoVo,None,Colon,0,HOXB4
77070|ZNF626,0.902360632941211,-0.0446198598028169,Homo sapiens,ZNF626,other,293T,None,None,0,ZNF626
48609|AGO1,0.902916123307357,-0.0443525917426189,Homo sapiens,AGO1,other,None,Epithelium,None,0,AGO1
38745|PITX1,0.903323275543541,-0.0441567993436967,Homo sapiens,PITX1,tf,LoVo,None,Colon,0,PITX1
77144|ZNF287,0.903732931892855,-0.0439598918050168,Homo sapiens,ZNF287,tf,293T,None,None,1,ZNF287
8554|PCGF5,0.904167352110493,-0.0437511786269195,Homo sapiens,PCGF5,predicted chromatin regulator,HEK293T,Epithelium,Embryonic Kidney,0,PCGF5
42818|CREBL2,0.904185596787683,-0.0437424153347395,Homo sapiens,CREBL2,tf,LoVo,None,Colon,0,CREBL2
42740|NR2E3,0.904185596787683,-0.0437424153347395,Homo sapiens,NR2E3,tf,LoVo,None,Colon,0,NR2E3
38810|NFATC4,0.904203839305668,-0.0437336532564624,Homo sapiens,NFATC4,tf,LoVo,None,Colon,0,NFATC4
77142|ZNF300,0.904213415562766,-0.0437290537475783,Homo sapiens,ZNF300,other,293T,None,None,1,ZNF300
62648|MCM5,0.90475350629357,-0.043469725145987,Homo sapiens,MCM5,,K562,Erythroblast,Bone Marrow,0,MCM5
38821|HIVEP1,0.905377596363547,-0.0431702563572974,Homo sapiens,HIVEP1,tf,LoVo,None,Colon,0,HIVEP1
65091|ZNF41,0.905486292363049,-0.0431181198349017,Homo sapiens,ZNF41,,HEK293,Epithelium,Embryonic Kidney,1,ZNF41
53704|TAT,0.905853880903667,-0.0429418507062762,Homo sapiens,TAT,not sure,Jurkat,T Lymphocyte,Blood,1,TAT
77161|ZNF211,0.906818300431304,-0.0424797239931001,Homo sapiens,ZNF211,tf,293T,None,None,1,ZNF211
77129|ZNF417,0.906877634353915,-0.0424513086510413,Homo sapiens,ZNF417,tf,293T,None,None,1,ZNF417
77094|ZNF550,0.907740395385332,-0.0420383375714661,Homo sapiens,ZNF550,tf,293T,None,None,1,ZNF550
76974|RPA1,0.908008445096457,-0.0419101122259031,Homo sapiens,RPA1,other,HeLa,Epithelium,Cervix,0,RPA1
72878|MYF5,0.908578656476572,-0.0416374694620952,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
77084|ZNF570,0.908698227813595,-0.0415803189283636,Homo sapiens,ZNF570,tf,293T,None,None,1,ZNF570
77095|ZNF548,0.908859566098098,-0.0415032173065079,Homo sapiens,ZNF548,tf,293T,None,None,0,ZNF548
42809|ARNTL2,0.909053232214393,-0.0414106846767417,Homo sapiens,ARNTL2,tf,LoVo,None,Colon,0,ARNTL2
42826|FOXC1,0.909053232214393,-0.0414106846767417,Homo sapiens,FOXC1,tf,LoVo,None,Colon,0,FOXC1
38748|PAX2,0.909758141738242,-0.041074049073775,Homo sapiens,PAX2,tf,LoVo,None,Colon,0,PAX2
38644|HSF4,0.910537983419447,-0.040701932740674,Homo sapiens,HSF4,tf,LoVo,None,Colon,0,HSF4
42700|NKX2-8,0.910616435263211,-0.040664515591954,Homo sapiens,NKX2-8,tf,LoVo,None,Colon,0,NKX2-8
77166|ZNF181,0.910694112366913,-0.0406274711268326,Homo sapiens,ZNF181,tf,293T,None,None,0,ZNF181
42652|FERD3L,0.910709616897288,-0.0406200773438085,Homo sapiens,FERD3L,tf,LoVo,None,Colon,0,FERD3L
"52211|HBG1, HBG2",0.910736244029419,-0.0406073797206703,Homo sapiens,"HBG1, HBG2",other,HEK293T,Epithelium,Embryonic Kidney,1,"HBG1, HBG2"
42660|FOXQ1,0.911279912681517,-0.0403482027625214,Homo sapiens,FOXQ1,tf,LoVo,None,Colon,0,FOXQ1
42860|PCF11,0.911592720534808,-0.0401991515085408,Homo sapiens,PCF11,not sure,LoVo,None,Colon,0,PCF11
54385|DKK1,0.911631408800535,-0.0401807203128896,Homo sapiens,DKK1,not sure,DLD-1,Epithelium,Colon,0,DKK1
58464|ARID1B,0.911657627408232,-0.0401682301410948,Homo sapiens,ARID1B,predicted transcription factor,HepG2,Epithelium,Liver,0,ARID1B
77091|ZNF557,0.911813861888857,-0.040093809703613,Homo sapiens,ZNF557,tf,293T,None,None,1,ZNF557
65104|ZNF596,0.912144853137116,-0.0399361880720804,Homo sapiens,ZNF596,,HEK293,Epithelium,Embryonic Kidney,0,ZNF596
42701|NKX6-1,0.912288284854132,-0.0398679020910149,Homo sapiens,NKX6-1,tf,LoVo,None,Colon,0,NKX6-1
2638|EBNA1BP2,0.912887788573324,-0.0395826023105944,Homo sapiens,EBNA1BP2,not sure,Raji,B Lymphocyte,Blood,1,EBNA1BP2
77046|ZNF764,0.913075084311412,-0.0394935079406825,Homo sapiens,ZNF764,tf,293T,None,None,0,ZNF764
42872|THAP4,0.913203271331674,-0.0394325414232065,Homo sapiens,THAP4,tf,LoVo,None,Colon,0,THAP4
1348|SMC4,0.913710170384155,-0.0391915409882687,Homo sapiens,SMC4,predicted chromatin regulator,HeLa,Epithelium,Cervix,0,SMC4
76940|SRPK2,0.913874152591031,-0.0391136057960345,Homo sapiens,SRPK2,other,MCF-10A,Epithelium,None,1,SRPK2
77038|ZNF785,0.914182168640505,-0.0389672539901993,Homo sapiens,ZNF785,tf,293T,None,None,0,ZNF785
42811|BBX,0.91493624326949,-0.0386091684045616,Homo sapiens,BBX,tf,LoVo,None,Colon,0,BBX
76675|HP1BP3,0.915482375619252,-0.0383500120886447,Homo sapiens,HP1BP3,other,HeLa,None,None,0,HP1BP3
42841|MEOX2,0.915735698638673,-0.0382298551376816,Homo sapiens,MEOX2,tf,LoVo,None,Colon,0,MEOX2
42824|ELF4,0.915735698638673,-0.0382298551376816,Homo sapiens,ELF4,tf,LoVo,None,Colon,0,ELF4
42835|HOXD1,0.915735698638673,-0.0382298551376816,Homo sapiens,HOXD1,tf,LoVo,None,Colon,0,HOXD1
38776|TFDP2,0.915750764052245,-0.0382227103117546,Homo sapiens,TFDP2,tf,LoVo,None,Colon,0,TFDP2
76666|PAX8,0.916658533877701,-0.0377924140250782,Homo sapiens,PAX8,tf,FT246,Epithelium,Fallopian tube secretory,0,PAX8
77076|ZNF614,0.916775463026262,-0.0377370188658869,Homo sapiens,ZNF614,tf,293T,None,None,1,ZNF614
42742|PPARA,0.916958374730263,-0.0376503786541495,Homo sapiens,PPARA,tf,LoVo,None,Colon,0,PPARA
38642|ZNF236,0.916995869171009,-0.0376326207097795,Homo sapiens,ZNF236,tf,LoVo,None,Colon,0,ZNF236
42857|NFIB,0.917205873175525,-0.0375331730005862,Homo sapiens,NFIB,predicted transcription factor,LoVo,None,Colon,0,NFIB
73755|FOXD3,0.917287580433173,-0.0374944865598342,Homo sapiens,FOXD3,tf,A549,Epithelium,Lung,0,FOXD3
77018|ZNF93,0.917714430162422,-0.0372924393857298,Homo sapiens,ZNF93,tf,293T,None,None,1,ZNF93
77145|ZNF285,0.918124297209216,-0.0370985193021841,Homo sapiens,ZNF285,other,293T,None,None,0,ZNF285
42671|HOXB2,0.918128466804676,-0.0370965469895099,Homo sapiens,HOXB2,tf,LoVo,None,Colon,0,HOXB2
38837|MSX2,0.918352113147864,-0.0369907703488149,Homo sapiens,MSX2,tf,LoVo,None,Colon,0,MSX2
77058|ZNF69,0.918686842849185,-0.0368325034123984,Homo sapiens,ZNF69,tf,293T,None,None,0,ZNF69
42821|DMRT2,0.918884652634817,-0.0367390020722771,Homo sapiens,DMRT2,tf,LoVo,None,Colon,0,DMRT2
42736|NCOA3,0.918942451339054,-0.0367116854022099,Homo sapiens,NCOA3,cr,LoVo,None,Colon,0,NCOA3
42879|ZBTB39,0.918975621574066,-0.0366960093497865,Homo sapiens,ZBTB39,tf,LoVo,None,Colon,0,ZBTB39
42817|CDX1,0.919104034924277,-0.0366353273121031,Homo sapiens,CDX1,tf,LoVo,None,Colon,0,CDX1
65101|GTF3A,0.919344912042675,-0.0365215231141589,Homo sapiens,GTF3A,,HEK293,Epithelium,Embryonic Kidney,0,GTF3A
42647|BHLHE41,0.920136612734281,-0.0361476881413337,Homo sapiens,BHLHE41,tf,LoVo,None,Colon,0,BHLHE41
69821|MDM2,0.920577606067857,-0.0359395939428578,Homo sapiens,MDM2,cr,H1299,Epithelium,Lung,1,MDM2
59016|EP400,0.920645605918805,-0.0359075153118065,Homo sapiens,EP400,cr,U2OS,None,Bone,0,EP400
397|IGF1R,0.920895852818213,-0.0357894828366972,Homo sapiens,IGF1R,not sure,DFB,Melanocyte,Skin,0,IGF1R
38822|HOXA7,0.92089755101563,-0.0357886819675382,Homo sapiens,HOXA7,tf,LoVo,None,Colon,0,HOXA7
77124|ZNF432,0.921049511152782,-0.0357170236115085,Homo sapiens,ZNF432,tf,293T,None,None,1,ZNF432
42873|TOE1,0.921059893842212,-0.0357121279796701,Homo sapiens,TOE1,not sure,LoVo,None,Colon,0,TOE1
42803|UBP1,0.921156899613707,-0.0356663906142724,Homo sapiens,UBP1,tf,LoVo,None,Colon,0,UBP1
65107|ZNF418,0.92150502686202,-0.0355022913374936,Homo sapiens,ZNF418,,HEK293,Epithelium,Embryonic Kidney,1,ZNF418
42867|SKI,0.92159853601022,-0.0354582238114754,Homo sapiens,SKI,predicted chromatin regulator,LoVo,None,Colon,0,SKI
42827|FOXF2,0.921756515532737,-0.0353837838548392,Homo sapiens,FOXF2,predicted transcription factor,LoVo,None,Colon,0,FOXF2
76829|PGBD5,0.922055639840368,-0.0352428714121388,Homo sapiens,PGBD5,other,G-401,None,Kidney,0,PGBD5
42889|ZNF581,0.922125724050762,-0.0352098625265129,Homo sapiens,ZNF581,predicted transcription factor,LoVo,None,Colon,0,ZNF581
73969|ZNF214,0.922153035478301,-0.0351969998264329,Homo sapiens,ZNF214,,293T,None,None,0,ZNF214
49156|COIL,0.922158060178178,-0.0351946334150015,Homo sapiens,COIL,other,HeLa,Epithelium,Cervix,1,COIL
38752|DMRT1,0.922607760959952,-0.034982896434987,Homo sapiens,DMRT1,tf,LoVo,None,Colon,0,DMRT1
42769|JAZF1,0.922917042030793,-0.0348373345184385,Homo sapiens,JAZF1,not sure,LoVo,None,Colon,0,JAZF1
42739|NR1I2,0.923261994341348,-0.0346750416055784,Homo sapiens,NR1I2,tf,LoVo,None,Colon,0,NR1I2
72701|NUP98-HOXA9,0.923796469623671,-0.0344237017840906,Homo sapiens,NUP98-HOXA9,other,HEK293FT,None,Kidney,0,NUP98-HOXA9
42820|DDIT3,0.923820026960401,-0.0344126271683684,Homo sapiens,DDIT3,tf,LoVo,None,Colon,0,DDIT3
38764|ZNF706,0.923933303089464,-0.0343593785046588,Homo sapiens,ZNF706,tf,LoVo,None,Colon,0,ZNF706
52207|IL1RN,0.924048279152125,-0.0343053374145212,Homo sapiens,IL1RN,other,HEK293T,Epithelium,Embryonic Kidney,0,IL1RN
76572|CENPC,0.924303297448768,-0.0341854976165942,Homo sapiens,CENPC,other,HeLa,Epithelium,Cervix,1,CENPC
49198|F2RL1,0.924480059490375,-0.0341024518890072,Homo sapiens,F2RL1,not sure,HEK293,Epithelium,Embryonic Kidney,0,F2RL1
76550|POLB,0.924491859845156,-0.034096908452774,Homo sapiens,POLB,other,MCF-7,MCF 7 Cells,None,1,POLB
42808|ADNP2,0.924743927609462,-0.0339785118258815,Homo sapiens,ADNP2,tf,LoVo,None,Colon,1,ADNP2
77138|ZNF324B,0.924972181075757,-0.0338713286522853,Homo sapiens,ZNF324B,tf,293T,None,None,0,ZNF324B
38816|IRX3,0.925177595952119,-0.0337748926244792,Homo sapiens,IRX3,tf,LoVo,None,Colon,0,IRX3
38725|TFE3,0.925819757707421,-0.0334735552752343,Homo sapiens,TFE3,tf,LoVo,None,Colon,0,TFE3
38775|CIC,0.926211586069812,-0.0332897906767023,Homo sapiens,CIC,tf,LoVo,None,Colon,0,CIC
52587|WIZ,0.926430332139696,-0.0331872342025168,Homo sapiens,WIZ,other,HEK293T,Epithelium,Embryonic Kidney,1,WIZ
55216|MAP2K1,0.926532089331553,-0.0331395348142836,Homo sapiens,MAP2K1,not sure,HeLa,Epithelium,Cervix,1,MAP2K1
77075|ZNF615,0.926658417169823,-0.0330803250536421,Homo sapiens,ZNF615,tf,293T,None,None,1,ZNF615
77069|ZNF627,0.926955701282146,-0.0329410200609135,Homo sapiens,ZNF627,tf,293T,None,None,1,ZNF627
73981|PRDM9,0.927128977104011,-0.0328598449836588,Homo sapiens,PRDM9,predicted transcription factor,293T,None,None,0,PRDM9
76670|DDX11,0.927635081620418,-0.0326228354263912,Homo sapiens,DDX11,other,A549,Epithelium,Lung,1,DDX11
34479|NFKBIA,0.927891952177167,-0.0325025919979308,Homo sapiens,NFKBIA,other,None,Keratinocyte,Foreskin,0,NFKBIA
76968|MBOAT4,0.928343571816357,-0.0322912654517528,Homo sapiens,MBOAT4,other,HeLa,Epithelium,Cervix,0,MBOAT4
